Subject,Date,Condition,Game,Request,Calls,Intercepted,Location,Season,Enjoy_Game,Finish,Game_Freq,Enjoy_Type,Interested,Distressed,Excited,Upset,Strong,Gulty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,Gender,Purpose,Pos_Affect,Neg_Affect,Purpose_Qual
70,3/18/2014,6,3,2,0,1,2,1,3,2,2,3,3,1,1,1,1,1,1,1,2,1,1,4,1,1,1,2,4,1,1,1,2,2,20,10, 
71,3/20/2014,5,2,2,5,1,2,1,1,1,5,4,2,1,3, ,1,1,1,1,1,1,3, ,1,1,1,1,1,3,1,1,2,2,12,13, 
72,4/1/2014,4,1,2,10,1,2,1,4,1,4,4,4,3,4,1,3,3,1,1,3,4,1,5,2,3,1,5,5,2,4,1,2,1,40,16,To test how video games effect our emotions.
73,4/3/2014,3,3,1,0,1,2,1,1,2,1,1,1,5,1,4,1,1,1,5,1,1,3, ,4,1,1,1,3,1,1,1,1,2,11,26, 
74,4/3/2014,2,2,1,0,1,2,1,3,1,4,5,4,3,2,3,1,3,3,1,1,1,3,4,3,1,3,2,4,1,1,1,2,1,21,24,I have played the game before and as soon as that level was selected I knew it would have something to do with my reaction to the hundreds of innocent people killed.  I know there is controversy with that level. So much so that they give the option to not even play it.
75,4/3/2014,1,1,1,0,1,2,1,2,2,3,1,3,2,2,3,2,1,1,4,3,1,3,3,4,2,1,5,4,3,5,1,2,2,30,23, 
76,4/8/2014,6,3,2,20,1,2,1,2,2,2,1,2,1,3,1,3,1,1,1,2,1,1,4,1,1,1,3,5,1,4,1,1,2,28,10, 
77,4/8/2014,5,2,2,6,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,12,14,I thought the purpose of the experiment is to see the effect violent video games has on an individual's emotions.
78,4/10/2014,4,1,2,7,1,2,1,4,2,1,4,4,1,4,3,4,1,1,5,4,3,3,4,1,5,4,5,4,4,4,1,1,1,41,24,To identify the range of emotions we felt when playing games.
79,4/10/2014,3,3,1,0,1,2,1,4,1,6,3,3,2,2,1,2,1,1,1,3,3,3,4,2,2,1,3,4,1,1,1,2,2,27,14, 
80,4/10/2014,2,2,1,0,1,2,1,3,1,3,3,2,3,2,1,3,1,1,1,2,2,1,4,1,1,1,3,4,1,2,1,2,1,25,12,To test what my emotional response was to violent videogames.
81,4/10/2014,1,1,1,0,0,2,1,3,1,4,1,1,1,3,1,3,1,1,1,3,4,1,5,1,1,1,2,4,1,5,1,2,1,31,10,I thought the purpose of the experiment was to see a certain emotional response that was being looked for after playing the video game. I didn't know the purpose was to see my emotional states overall.
82,4/15/2014,6,3,2, ,0,2,1,4,2,5,3,3,3,3,2,2,2,1,3,4,2,2,4,2,1,2,4,4,2,3,1,2,2,30,20, 
83,4/15/2014,5,2,2,0,1,2,1,2,1,6,3,3,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,3,1,4,1,2,2,18,14, 
84,4/15/2014,4,1,2,0,1,2,1,2,2,6,2,2,3,2,3,2,1,1,1,1,1,2,2,2,1,2,3,2,3,2,2,2,2,18,20, 
85,4/15/2014,3,3,1,10,1,2,1,3,2,5,4,3,1,2,1,3,1,1,1,3,3,1,4,1,3,1,4,4,3,1,1,2,2,30,12, 
86,4/17/2014,2,2,1,0,1,2,1,3,1,3,3,3,1,3,1,1,1,1,1,3,1,1,4,1,1,1,4, ,3,3,1,2,2,23,12, 
87,4/22/2014,1,1,1,1,1,2,1,2,2,4,2,3,2,1,1,1,1,1,2,2,1,3,1,2,1,1,3,1,1,1,1,2,2,15,15, 
88,4/22/2014,6,3,2,0,1,2,1,2,2,2,2,2,2,1,2,1,2,3,1,1,1,1,3,1,1,2,3,2,3,2,3,1,2,17,20, 
89,4/22/2014,5,2,2,0,1,2,1,2,2,1,1,3,2,2,1,1,1,2,2,2,1,3,4,1,1,2,2,3,4,1,1,1,2,20,19, 
90,4/22/2014,4,1,2,0,1,2,1,3,2,3,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,15,12, 
91,4/24/2014,3,3,1,0,1,2,1,3,1,4,3,3,1,3,1,2,1,1,1,3,3,1,4,1,2,1,1,1,1,2,1,2,1,24,10,I thought the purpose of the study was to play a violent video game and then answer questions to see if there is a connection between violent video games and emotions.
92,4/24/2014,2,2,1,0,1,2,1,1,2,4,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,3,3,3,1,1,1,1,18,15,to see the successful of game will cause good effect to emotion.
